z_mm,normalized_temperature_rise
2.189999999999999947e+00,1.175923168666130614e-02
2.200000000000000178e+00,1.194794467251498495e-02
2.209999999999999964e+00,1.213932913016893891e-02
2.220000000000000195e+00,1.233341654315930382e-02
2.230000000000000426e+00,1.253023866037772903e-02
2.240000000000000213e+00,1.272982749660529073e-02
2.250000000000000444e+00,1.293221533301648629e-02
2.260000000000000231e+00,1.313743471765306536e-02
2.270000000000000462e+00,1.334551846586705219e-02
2.280000000000000249e+00,1.355649966073227061e-02
2.290000000000000480e+00,1.377041165342408717e-02
2.300000000000000266e+00,1.398728806356659693e-02
2.310000000000000053e+00,1.420716277954691201e-02
2.319999999999999840e+00,1.443006995879558656e-02
2.330000000000000071e+00,1.465604402803316608e-02
2.339999999999999858e+00,1.488511968348179594e-02
2.350000000000000089e+00,1.511733189104180752e-02
2.360000000000000320e+00,1.535271588643209902e-02
2.370000000000000107e+00,1.559130717529436452e-02
2.380000000000000338e+00,1.583314153326028512e-02
2.390000000000000124e+00,1.607825500598114576e-02
2.400000000000000355e+00,1.632668390911925019e-02
2.410000000000000142e+00,1.657846482830072077e-02
2.420000000000000373e+00,1.683363461902893932e-02
2.430000000000000160e+00,1.709223040655837370e-02
2.440000000000000391e+00,1.735428958572768354e-02
2.450000000000000178e+00,1.761984982075187958e-02
2.460000000000000409e+00,1.788894904497312019e-02
2.470000000000000195e+00,1.816162546056924662e-02
2.479999999999999982e+00,1.843791753821945323e-02
2.490000000000000213e+00,1.871786401672699551e-02
2.500000000000000000e+00,1.900150390259755864e-02
2.510000000000000231e+00,1.928887646957367502e-02
2.520000000000000018e+00,1.958002125812384822e-02
2.530000000000000249e+00,1.987497807488615431e-02
2.540000000000000036e+00,2.017378699206561973e-02
2.550000000000000266e+00,2.047648834678492472e-02
2.560000000000000053e+00,2.078312274038791874e-02
2.570000000000000284e+00,2.109373103769504598e-02
2.580000000000000071e+00,2.140835436621045876e-02
2.590000000000000302e+00,2.172703411528005557e-02
2.600000000000000533e+00,2.204981193520012470e-02
2.610000000000000320e+00,2.237672973627576750e-02
2.620000000000000551e+00,2.270782968782833824e-02
2.630000000000000338e+00,2.304315421715215709e-02
